Content,Video title,Video publish time,Views,Impressions,Impressions click-through rate (%),Average view duration
2y7IMYSqp2Q,Python: Formato de tablas (str.format),"Sep 16, 2015",30781,18983,13.09,0:01:18
Oby3ksXd1oY,Buscar un valor en una columna y extraer datos de otra| csv | Pandas  | Python | ¡Muy básico!,"May 13, 2018",30696,43046,11.04,0:02:09
kZdgeJaHhPs,🤔¿Longitud de arco de una curva con ecuaciones paramétricas? | ¡Muy básico!|Cálculo Vectorial,"Sep 16, 2020",29761,53359,8.73,0:02:15
l-IdFCzhrGE,Sustituir letras por otros caracteres o..números| String | Python desde cero│¡Muy fácil!,"Jun 16, 2018",29712,31570,13.21,0:01:18
_czefWzMXx0,Integrales: ¿Cómo usar la regla de la potencia? (Básico),"Feb 13, 2017",29521,30046,16.04,0:02:31
TXJoRrii1tk,🐍+ 📊 ¿Cómo acomodar las gráficas y cambiar el formato de los ejes? |Matplotlib | Python | Muy Básico,"Jan 6, 2020",29211,34986,6.91,0:02:17
NgmGuQUYZ3g,"Scratch: ¿Cómo mover un objeto, con las flechas?","Jun 5, 2016",29025,11999,5.38,0:01:48
5JFk5Kufimc,Python: Derivadas simbólicas y numéricas,"Nov 14, 2016",28480,28433,13.11,0:01:57
yOzYumHOczU,Google Sheets: ¿Cómo sacar una ecuación a partir de datos? (Básico),"Jun 9, 2017",28292,14031,10.96,0:01:47
ySmDUcx1KEM,Historia de la Logística,"Dec 7, 2014",28291,11605,12.7,0:05:08
SuguUYdE67A,Gauss-Seidel  | Código |Python | Métodos Numéricos  | Solución de Sistemas de Ecuaciones Lineales,"Oct 25, 2017",28261,40867,6.93,0:03:49
GIJlCO14iXc,Aplicación de máximos y mínimos: Ganancia (Básico),"Jun 18, 2016",28251,10882,6.32,0:02:11
HMW6Zm7wkHs,"📝 Ejercicios de la Primera Ley de la Termodinámica | Introducción | ¡Muy, muy básico!","Feb 15, 2021",27996,106152,13.68,0:03:01
t9YxHm7cgJw,Python: Funciones recursivas (Muy Básico),"May 7, 2017",27478,59387,9.49,0:02:56
T7C0pV5ituE,"TkInter para Python: Etiquetas, entrada para texto e insertar imágenes con Pack(Básico)","Apr 18, 2017",27196,36838,5.4,0:02:40
V4ACsfbKtpU,2 Ventanas | QT Designer| Python | PyQT5 | Ejemplo|¡Muy básico!,"Jun 3, 2018",26677,45526,7.08,0:02:27
KYuU_jBRERQ,Uso de la calculadora científica: Porcentajes,"Feb 3, 2016",26591,13903,7.91,0:01:20
0--zo99fwI8,Número más grande en una lista | 3 formas | Listas │Python desde cero│¡Muy fácil!,"Jun 9, 2018",26574,54425,9.24,0:02:03
t9kXnB3FCrw,🌬️🔥 Convección | Transferencia de calor | Termodinámica | ¡Muy básico!,"Jun 1, 2020",26348,57261,8.3,0:03:03
tBy7pwQSgYk,Despejes de ecuaciones que tienen logaritmos,"May 16, 2016",26234,7795,5.57,0:01:32
xPMOvmSs_Hs,Crecimiento de la población: ¿Cuántos habitantes hay después de X años? (Básico),"Aug 10, 2017",26053,24112,8.56,0:02:24
OzTCzucnD3c,📄¿Cómo extraer el texto de un PDF? | Fitz | PyMuPDF | Python │¡Muy básico!,"Dec 2, 2019",25958,78128,7.89,0:03:31
zjHJ3x2hhjI,¿Cómo calcular el número de átomos en una celda cristalina? (Básico),"Sep 28, 2016",25897,7146,10.64,0:01:33
OzwEwHlFUbw,💡 ¿Cómo simplificar fracciones en la calculadora 🖩 ? | Calculadora científica | Shortsc,"Jul 18, 2021",25797,91080,14.05,0:00:43
18qm7tdzWM0,Factorización: ¿Cómo encontrar las raíces?,"Nov 27, 2016",25712,29944,14.76,0:02:06
0GXIQ7nKZl0,Experimento: Masilla para jugar (Sólo 2 ingredientes),"Aug 19, 2016",25516,4113,6.35,0:02:49
rxaWvLU39nU,🤖 ¿Cómo hacer un Chat Bot? | Chatterbot | Python │¡Muy básico!,"Dec 9, 2019",25505,59048,7.76,0:03:06
b4zmSqB9npI,Regresión lineal | SciKitLearn |Machine Learning| Python,"Feb 11, 2018",25437,34950,6.57,0:03:46
_OoPVNuotFY,Experimento con bombon,"Nov 25, 2014",24885,27708,7.98,0:01:49
9sc1w3TZOnE,Ley de Enfriamiento de Newton: ¿Cómo encontrar el tiempo de enfriamiento?,"Aug 9, 2017",24519,39787,5.09,0:04:25
w2wzVg0owxU,Agrupar | Clustering | SciKitLearn | KMeans |Machine Learning| Python,"Mar 19, 2018",24366,65530,5.79,0:04:33
VR9mXMi4Nx4,WolframAlpha: Balanceo de ecuaciones químicas!,"Mar 12, 2017",24293,12066,5.76,0:01:16
nUdrKISTdnQ,¿Cómo hacer modelos matemáticos con Excel?,"Dec 22, 2016",24189,7597,8.02,0:01:30
IMY_B8gY5dU,Fracciones | Configuración | Fracciones mixtas | Decimales | Calculadora científica,"Sep 30, 2018",24006,74018,9.63,0:01:59
